District,Soil_Type,Crop_Type,Day_After_Sowing,Temperature(°C),Humidity(%),Rainfall(mm),Area_in_Acre,Water_Requirement(L/day)
Dumka,Laterite Soil,Barley,135,29.1,70.0,34.6,7.53,12348.0
Dumka,Gravelly Soil,Linseed,55,30.2,72.6,36.7,9.39,13398.0
Simdega,Gravelly Soil,Sorghum,56,25.3,43.5,9.7,0.51,6141.0
Sahebganj,Alluvial Soil,Sunflower,118,21.5,40.9,49.1,3.86,8701.0
Chatra,Sandy Loam,Millet,76,26.6,86.9,8.9,4.01,8085.0
Sahebganj,Clay Loam,Rice,63,29.9,53.6,4.8,0.82,10806.0
Chatra,Alluvial Soil,Linseed,83,21.1,59.0,33.2,8.26,11836.0
Chatra,Red Sandy Soil,Ragi,99,21.8,74.1,45.5,7.04,10487.0
Ranchi,Red Sandy Soil,Groundnut,132,25.3,51.8,28.0,5.52,10636.0
Hazaribagh,Alluvial Soil,Sunflower,42,27.3,76.7,29.8,4.35,9083.0
Lohardaga,Laterite Soil,Sugarcane,96,27.9,62.9,26.9,9.01,20075.0
Ranchi,Alluvial Soil,Cotton,110,22.4,82.8,2.1,3.01,9424.0
Dumka,Alluvial Soil,Mustard,70,24.5,53.9,34.1,3.68,7531.0
Jamtara,Sandy Loam,Cotton,28,25.2,50.2,17.9,9.55,16906.0
Palamu,Red Sandy Soil,Rice,126,21.4,81.6,46.8,1.11,8566.0
Godda,Red Sandy Soil,Groundnut,92,26.5,56.3,9.3,7.92,13395.0
Hazaribagh,Clay Loam,Rice,40,21.4,60.6,15.1,7.32,16040.0
Palamu,Gravelly Soil,Maize,42,34.1,79.7,25.2,9.07,14785.0
Palamu,Alluvial Soil,Cotton,118,27.7,71.8,23.9,1.36,8198.0
Sahebganj,Alluvial Soil,Ragi,5,26.5,62.1,20.0,9.72,14507.0
Gumla,Laterite Soil,Sunflower,101,22.5,52.5,15.7,0.77,6031.0
Sahebganj,Black Soil,Rice,61,24.5,78.2,7.4,3.71,12366.0
Simdega,Black Soil,Sorghum,41,24.7,49.0,41.0,1.31,6090.0
Khunti,Red Sandy Soil,Rice,111,39.7,86.4,22.4,0.99,10620.0
Giridih,Laterite Soil,Barley,9,36.7,47.5,28.6,9.66,16033.0
Pakur,Sandy Loam,Sugarcane,62,20.3,80.2,27.3,7.34,17118.0
Ranchi,Clay Loam,Sunflower,54,32.3,61.2,28.8,5.3,11018.0
Giridih,Laterite Soil,Barley,104,25.1,49.3,35.2,1.53,6557.0
Palamu,Red Sandy Soil,Maize,126,22.1,60.1,31.5,5.5,10477.0
Simdega,Sandy Loam,Jowar,34,34.1,51.1,13.7,3.54,9643.0
Palamu,Alluvial Soil,Ragi,42,22.6,46.8,27.7,3.08,7782.0
Godda,Sandy Loam,Jowar,14,28.9,52.0,12.2,6.37,11956.0
Ranchi,Gravelly Soil,Barley,33,32.6,83.4,29.4,8.01,12880.0
Simdega,Laterite Soil,Wheat,118,31.1,45.3,21.6,4.71,11729.0
Khunti,Red Sandy Soil,Cotton,98,39.6,88.6,2.0,5.19,13152.0
Dhanbad,Laterite Soil,Linseed,92,35.7,40.2,36.7,6.69,12220.0
Sahebganj,Alluvial Soil,Ragi,100,35.5,72.9,13.7,1.68,7169.0
Giridih,Black Soil,Barley,87,27.1,82.8,46.0,8.37,12376.0
Seraikela-Kharsawan,Alluvial Soil,Sesame,145,20.2,86.7,14.0,8.45,11889.0
Palamu,Red Sandy Soil,Sesame,124,34.7,47.2,49.8,5.64,10998.0
Latehar,Gravelly Soil,Millet,32,40.0,74.9,23.1,2.28,7771.0
Bokaro,Clay Loam,Millet,101,28.1,45.4,1.3,5.26,10882.0
Godda,Sandy Loam,Sorghum,39,39.7,57.6,3.8,1.51,8276.0
Seraikela-Kharsawan,Sandy Loam,Sunflower,94,22.8,76.6,4.1,7.75,12550.0
Gumla,Alluvial Soil,Mustard,10,25.9,57.3,2.8,3.46,7975.0
Khunti,Laterite Soil,Sorghum,100,23.4,55.7,13.4,3.46,8461.0
Koderma,Black Soil,Maize,58,29.5,45.8,16.2,9.48,15932.0
Khunti,Laterite Soil,Sunflower,101,35.9,43.3,5.6,4.51,11589.0
Khunti,Gravelly Soil,Maize,64,26.8,45.8,21.9,8.0,14068.0
Godda,Clay Loam,Barley,19,38.1,83.8,18.3,6.55,12180.0
Giridih,Laterite Soil,Groundnut,101,30.9,40.6,31.8,3.5,9436.0
Giridih,Sandy Loam,Rice,117,29.3,74.6,9.8,1.68,10876.0
Palamu,Black Soil,Sugarcane,136,35.7,78.4,45.7,8.08,19084.0
Dumka,Laterite Soil,Rice,71,22.0,68.4,25.8,7.74,16072.0
Deoghar,Black Soil,Rice,40,35.5,76.5,31.2,2.11,11441.0
Gumla,Clay Loam,Maize,13,24.9,72.6,2.0,2.87,8342.0
Lohardaga,Sandy Loam,Maize,101,25.6,62.8,28.0,7.78,13096.0
Sahebganj,Black Soil,Millet,124,32.0,59.1,18.4,9.84,15099.0
Palamu,Laterite Soil,Maize,82,38.0,87.1,46.2,8.51,13973.0
Palamu,Sandy Loam,Barley,88,31.6,88.6,44.3,7.0,11316.0
Chatra,Alluvial Soil,Ragi,105,33.0,72.6,31.9,9.2,14084.0
Hazaribagh,Alluvial Soil,Linseed,130,35.5,49.9,38.4,3.21,8395.0
Gumla,Gravelly Soil,Millet,16,25.2,62.4,32.2,0.59,4794.0
Jamtara,Alluvial Soil,Cotton,14,36.5,64.8,0.8,3.55,11940.0
Dhanbad,Laterite Soil,Rice,128,28.4,77.9,35.2,9.73,18229.0
Sahebganj,Clay Loam,Cotton,145,23.5,73.4,8.9,8.88,15550.0
Bokaro,Sandy Loam,Sunflower,60,27.0,65.7,34.1,0.98,5927.0
Bokaro,Black Soil,Rice,17,24.9,74.0,0.5,5.27,14230.0
Latehar,Red Sandy Soil,Sunflower,45,24.6,41.2,15.5,1.25,7064.0
Chatra,Alluvial Soil,Rice,38,25.7,78.8,25.8,8.0,16390.0
Chatra,Alluvial Soil,Mustard,124,23.6,50.6,16.7,4.04,8248.0
Jamtara,Red Sandy Soil,Rice,104,33.4,72.8,34.7,9.16,18322.0
Dumka,Black Soil,Groundnut,64,31.6,45.7,26.1,1.02,6987.0
Bokaro,Black Soil,Sorghum,121,33.0,45.7,48.0,7.47,13039.0
Pakur,Red Sandy Soil,Linseed,6,26.9,41.8,17.9,4.29,9268.0
Palamu,Black Soil,Cotton,112,35.4,85.5,36.1,3.05,10003.0
Hazaribagh,Laterite Soil,Sesame,102,22.6,70.2,41.8,5.42,9038.0
Simdega,Black Soil,Linseed,49,31.4,58.1,12.7,5.11,10153.0
Lohardaga,Sandy Loam,Rice,21,25.5,79.4,37.7,3.81,11924.0
Hazaribagh,Black Soil,Wheat,23,30.6,71.3,19.7,6.66,12887.0
Godda,Alluvial Soil,Wheat,76,26.5,71.0,6.4,6.78,12872.0
Dumka,Clay Loam,Wheat,64,35.8,64.4,0.2,1.23,8574.0
Gumla,Laterite Soil,Barley,27,37.8,40.4,37.2,6.16,12684.0
Sahebganj,Laterite Soil,Millet,134,34.9,52.9,9.3,7.25,13167.0
Palamu,Black Soil,Cotton,149,23.5,45.5,2.6,1.22,8853.0
Jamtara,Clay Loam,Rice,71,25.5,73.1,24.9,6.76,15319.0
Chatra,Clay Loam,Linseed,107,38.4,52.4,17.3,8.14,13962.0
Palamu,Gravelly Soil,Jowar,133,28.7,62.5,34.6,8.4,13203.0
Latehar,Clay Loam,Sorghum,143,38.8,57.7,5.4,0.9,7541.0
Jamtara,Black Soil,Millet,149,27.8,47.2,6.6,7.13,12562.0
Seraikela-Kharsawan,Black Soil,Jowar,58,39.0,87.9,20.2,8.07,13429.0
Seraikela-Kharsawan,Red Sandy Soil,Sunflower,132,38.5,86.7,26.0,4.27,9899.0
Pakur,Alluvial Soil,Sugarcane,135,33.2,44.2,41.2,5.66,17530.0
Khunti,Gravelly Soil,Groundnut,35,20.2,81.4,29.3,3.02,6712.0
Latehar,Black Soil,Sugarcane,121,28.0,64.4,45.1,3.45,14116.0
Sahebganj,Red Sandy Soil,Sesame,143,38.2,78.7,10.9,5.27,10811.0
Dhanbad,Gravelly Soil,Sunflower,130,37.7,47.6,29.8,1.94,8586.0
Koderma,Alluvial Soil,Maize,120,23.7,46.6,32.8,4.02,9536.0
Sahebganj,Gravelly Soil,Sunflower,5,28.0,84.5,36.3,3.36,7799.0
Pakur,Red Sandy Soil,Millet,71,36.7,84.9,49.4,2.76,7095.0
Chatra,Sandy Loam,Jowar,86,31.6,63.3,23.4,5.1,10393.0
Gumla,Black Soil,Mustard,95,36.9,83.5,18.5,8.47,12985.0
Jamtara,Alluvial Soil,Rice,41,36.5,73.4,42.6,2.8,12096.0
Simdega,Laterite Soil,Sunflower,75,38.1,49.3,8.8,6.77,13825.0
Palamu,Alluvial Soil,Barley,83,22.3,56.4,1.9,2.91,8110.0
Latehar,Alluvial Soil,Cotton,38,22.9,46.8,22.2,1.85,8992.0
Palamu,Alluvial Soil,Rice,42,21.7,78.7,12.4,9.46,17721.0
Latehar,Sandy Loam,Cotton,56,38.7,89.3,19.8,6.52,14015.0
Koderma,Black Soil,Mustard,71,29.5,67.3,49.3,1.49,5135.0
Pakur,Red Sandy Soil,Rice,55,21.3,72.8,17.4,6.51,14808.0
Godda,Black Soil,Groundnut,22,26.4,77.3,35.4,2.18,6493.0
Godda,Laterite Soil,Sunflower,27,27.0,51.2,12.5,8.93,14744.0
Simdega,Red Sandy Soil,Maize,105,36.2,56.8,15.2,2.85,9662.0
Jamtara,Gravelly Soil,Wheat,38,34.7,60.6,12.2,8.16,15268.0
Hazaribagh,Gravelly Soil,Mustard,112,33.8,69.7,28.6,2.39,6807.0
Gumla,Gravelly Soil,Sunflower,39,20.4,82.5,11.3,5.8,10039.0
Seraikela-Kharsawan,Red Sandy Soil,Maize,143,38.2,52.7,35.9,9.17,15891.0
Jamtara,Clay Loam,Rice,119,24.3,63.5,34.0,3.31,11855.0
Gumla,Sandy Loam,Jowar,60,32.6,77.6,21.1,1.27,6280.0
Khunti,Clay Loam,Sesame,136,21.2,44.4,1.3,5.75,10812.0
Pakur,Black Soil,Maize,44,21.6,65.6,1.1,2.14,7510.0
Simdega,Gravelly Soil,Barley,43,20.2,47.2,26.6,7.42,12192.0
Godda,Sandy Loam,Maize,134,31.3,67.0,42.0,6.11,11590.0
Giridih,Red Sandy Soil,Sugarcane,23,32.6,78.4,29.9,3.79,14800.0
Ranchi,Gravelly Soil,Groundnut,122,21.0,51.8,21.8,7.2,12010.0
Dhanbad,Red Sandy Soil,Mustard,141,25.8,82.5,44.1,2.77,5693.0
Khunti,Sandy Loam,Wheat,84,37.0,56.7,9.8,9.21,16713.0
Koderma,Red Sandy Soil,Rice,106,22.0,49.5,18.0,3.8,12855.0
Pakur,Red Sandy Soil,Mustard,64,24.3,63.3,28.3,7.75,11415.0
Gumla,Laterite Soil,Millet,125,28.5,83.8,14.6,2.96,7204.0
Giridih,Black Soil,Sunflower,52,36.8,43.4,49.9,7.29,13570.0
Gumla,Clay Loam,Mustard,48,25.1,56.4,22.6,0.8,4866.0
Palamu,Clay Loam,Barley,61,39.9,72.7,2.6,3.31,9767.0
Dumka,Clay Loam,Mustard,17,27.1,57.9,8.8,1.38,5877.0
Lohardaga,Alluvial Soil,Millet,40,27.7,43.5,26.6,4.79,9923.0
Palamu,Laterite Soil,Maize,75,22.4,56.6,27.5,4.63,9822.0
Ranchi,Gravelly Soil,Ragi,89,33.6,81.0,49.2,3.91,8256.0
Pakur,Gravelly Soil,Sugarcane,69,24.9,88.4,30.0,9.82,19758.0
Giridih,Gravelly Soil,Maize,85,32.6,42.0,33.3,2.82,9354.0
Dhanbad,Clay Loam,Sorghum,26,24.5,68.5,10.7,8.01,12791.0
Ranchi,Black Soil,Maize,40,27.8,45.3,5.3,4.75,11265.0
Bokaro,Clay Loam,Millet,96,37.1,74.0,30.1,3.68,8768.0
Palamu,Black Soil,Cotton,117,34.8,40.4,43.2,2.43,10534.0
Dhanbad,Laterite Soil,Wheat,136,23.1,40.7,29.4,6.52,12721.0
Dumka,Black Soil,Millet,73,32.2,78.8,22.1,3.67,8284.0
Hazaribagh,Red Sandy Soil,Sunflower,45,32.6,43.7,28.9,8.22,14491.0
Godda,Clay Loam,Maize,17,21.8,55.3,23.4,9.7,14953.0
Dumka,Gravelly Soil,Mustard,77,29.3,87.9,7.1,2.66,6511.0
Latehar,Red Sandy Soil,Wheat,137,25.2,89.3,37.1,1.72,6519.0
Koderma,Clay Loam,Rice,91,29.3,48.1,26.7,3.5,13153.0
Hazaribagh,Sandy Loam,Jowar,106,35.5,68.0,20.0,4.94,10550.0
Chatra,Alluvial Soil,Rice,101,23.2,68.0,28.0,3.36,11780.0
Lohardaga,Clay Loam,Barley,103,22.5,62.6,12.1,9.72,14550.0
Simdega,Sandy Loam,Maize,24,25.4,86.2,21.4,7.9,12626.0
Chatra,Laterite Soil,Mustard,73,39.0,77.7,31.1,9.68,14327.0
Seraikela-Kharsawan,Sandy Loam,Cotton,121,35.0,78.2,11.3,4.05,11678.0
Bokaro,Laterite Soil,Sugarcane,106,20.4,53.5,37.4,3.39,13777.0
Dumka,Clay Loam,Sugarcane,139,28.0,61.7,26.1,4.37,15497.0
Pakur,Laterite Soil,Ragi,35,25.1,64.4,43.1,5.47,9586.0
Sahebganj,Sandy Loam,Wheat,136,32.8,54.9,42.4,7.54,14025.0
Latehar,Black Soil,Cotton,17,29.2,44.7,24.7,8.87,16655.0
Latehar,Alluvial Soil,Jowar,140,39.3,46.3,9.8,4.9,11745.0
Hazaribagh,Red Sandy Soil,Sesame,93,24.4,49.0,36.8,3.25,7784.0
Seraikela-Kharsawan,Red Sandy Soil,Rice,109,31.8,50.2,20.9,3.53,13486.0
Godda,Alluvial Soil,Jowar,50,34.0,52.1,29.7,7.12,12863.0
Lohardaga,Gravelly Soil,Groundnut,114,36.5,52.8,5.4,5.89,12548.0
Khunti,Red Sandy Soil,Rice,24,28.1,62.8,31.6,5.12,14114.0
Deoghar,Clay Loam,Rice,37,33.7,65.5,18.7,2.43,12161.0
Khunti,Gravelly Soil,Rice,11,26.1,55.4,16.7,8.82,18134.0
Giridih,Clay Loam,Mustard,99,28.7,85.4,49.0,7.92,10948.0
Bokaro,Sandy Loam,Millet,55,37.9,67.7,21.6,1.84,7367.0
Gumla,Sandy Loam,Ragi,27,39.0,79.4,33.9,3.99,9230.0
Bokaro,Gravelly Soil,Mustard,67,34.4,86.2,31.4,5.65,9576.0
Seraikela-Kharsawan,Gravelly Soil,Sugarcane,2,27.5,48.2,5.2,4.82,16720.0
Dumka,Gravelly Soil,Ragi,68,36.4,61.4,37.4,4.28,9730.0
Dhanbad,Gravelly Soil,Sorghum,146,20.5,61.7,16.2,7.33,11805.0
Giridih,Laterite Soil,Mustard,148,22.1,57.7,39.9,1.02,4401.0
Deoghar,Black Soil,Jowar,63,33.2,40.4,30.4,4.98,10980.0
Palamu,Gravelly Soil,Sorghum,72,25.8,80.8,15.9,2.99,7428.0
Koderma,Black Soil,Mustard,130,39.0,45.6,17.8,1.3,7176.0
Dumka,Gravelly Soil,Millet,83,28.7,89.8,36.6,4.92,8564.0
Deoghar,Sandy Loam,Wheat,42,28.6,78.6,27.5,2.13,7782.0
Latehar,Clay Loam,Cotton,107,33.6,69.0,33.4,2.95,10272.0
Bokaro,Black Soil,Wheat,28,35.4,47.7,7.9,5.32,12971.0
Simdega,Sandy Loam,Groundnut,105,29.5,65.8,39.3,9.75,14640.0
Seraikela-Kharsawan,Red Sandy Soil,Sugarcane,112,24.3,53.1,16.0,7.0,18217.0
Sahebganj,Laterite Soil,Groundnut,133,35.5,52.6,31.0,3.16,9212.0
Koderma,Laterite Soil,Linseed,15,26.4,81.5,5.7,4.13,8111.0
Bokaro,Clay Loam,Groundnut,110,23.5,59.0,16.1,4.36,9318.0
Latehar,Gravelly Soil,Sorghum,73,32.6,62.5,32.4,1.96,7297.0
Dhanbad,Sandy Loam,Cotton,90,21.8,82.1,13.7,2.03,8173.0
Giridih,Red Sandy Soil,Cotton,37,39.4,44.4,44.0,1.91,10338.0
Lohardaga,Sandy Loam,Millet,143,32.6,69.7,33.1,5.46,10167.0
Seraikela-Kharsawan,Gravelly Soil,Sorghum,4,39.7,68.9,43.5,6.9,12533.0
Bokaro,Gravelly Soil,Millet,84,26.8,61.3,19.8,6.11,10755.0
Hazaribagh,Alluvial Soil,Sorghum,149,39.4,81.5,1.7,9.79,15851.0
Jamtara,Sandy Loam,Wheat,60,22.9,87.1,28.8,1.7,6501.0
Khunti,Clay Loam,Millet,86,20.8,63.3,17.0,9.87,13911.0
Khunti,Sandy Loam,Millet,71,20.7,62.8,22.4,4.93,8868.0
Sahebganj,Laterite Soil,Barley,31,29.3,65.1,34.1,2.58,7575.0
Latehar,Red Sandy Soil,Maize,17,21.7,76.2,35.0,9.46,13844.0
Khunti,Black Soil,Wheat,7,30.2,73.4,1.4,4.95,11440.0
Simdega,Clay Loam,Linseed,126,26.6,51.1,38.5,3.8,8057.0
Pakur,Alluvial Soil,Cotton,83,26.7,43.2,24.7,2.53,10110.0
Deoghar,Red Sandy Soil,Wheat,28,32.7,87.5,27.8,3.04,8829.0
Bokaro,Red Sandy Soil,Cotton,10,23.3,53.1,14.9,9.8,16939.0
Khunti,Black Soil,Mustard,27,35.3,71.9,21.0,3.39,8043.0
Lohardaga,Laterite Soil,Maize,141,31.6,81.4,35.5,9.79,14998.0
Simdega,Laterite Soil,Barley,127,38.3,55.0,38.8,3.64,9744.0
Bokaro,Laterite Soil,Barley,43,27.3,71.8,19.4,2.7,7588.0
Sahebganj,Clay Loam,Jowar,69,39.7,45.4,34.6,2.24,8656.0
Ranchi,Sandy Loam,Sorghum,63,31.5,88.5,12.9,4.41,9247.0
Jamtara,Red Sandy Soil,Sugarcane,70,39.5,42.9,41.6,2.75,15281.0
Seraikela-Kharsawan,Sandy Loam,Sesame,99,20.5,61.9,30.5,7.12,11003.0
Sahebganj,Sandy Loam,Cotton,71,34.6,66.8,38.8,2.78,10160.0
Gumla,Laterite Soil,Linseed,93,36.3,79.5,23.9,8.44,13107.0
Godda,Sandy Loam,Sunflower,143,21.1,46.1,11.5,8.42,13817.0
Simdega,Red Sandy Soil,Ragi,146,31.6,62.0,21.5,3.21,8480.0
Ranchi,Red Sandy Soil,Sugarcane,132,36.0,55.0,19.1,7.66,19928.0
Sahebganj,Gravelly Soil,Mustard,11,31.2,55.6,16.6,8.65,13470.0
Deoghar,Alluvial Soil,Barley,134,21.3,78.9,10.6,6.11,10361.0
Bokaro,Clay Loam,Sunflower,122,33.9,40.3,38.0,3.98,10301.0
Seraikela-Kharsawan,Sandy Loam,Linseed,18,21.2,77.5,4.3,4.69,8299.0
Lohardaga,Clay Loam,Mustard,67,36.3,80.5,44.4,7.97,11997.0
Gumla,Clay Loam,Sesame,145,20.9,85.1,8.8,3.29,6951.0
Gumla,Clay Loam,Groundnut,97,22.7,71.3,49.0,3.68,7531.0
Deoghar,Black Soil,Maize,34,25.5,56.7,49.4,2.03,7091.0
Gumla,Gravelly Soil,Jowar,147,32.7,61.4,19.9,4.29,9820.0
Latehar,Clay Loam,Mustard,137,39.5,88.5,49.4,1.32,5327.0
Godda,Gravelly Soil,Sesame,44,22.4,84.1,43.5,3.55,6697.0
Koderma,Red Sandy Soil,Jowar,95,22.9,63.2,4.1,4.05,8862.0
Chatra,Black Soil,Maize,91,27.4,87.2,47.4,2.93,7306.0
Lohardaga,Sandy Loam,Sesame,111,36.7,81.1,2.1,1.46,6955.0
Giridih,Gravelly Soil,Wheat,71,29.3,85.1,9.1,5.46,11355.0
Seraikela-Kharsawan,Alluvial Soil,Ragi,53,26.4,74.1,29.2,8.72,12953.0
Dumka,Clay Loam,Mustard,71,31.2,82.9,4.0,3.69,7943.0
Jamtara,Black Soil,Millet,53,25.2,84.6,8.1,2.75,6770.0
Dhanbad,Alluvial Soil,Rice,108,28.0,44.6,47.7,3.21,12418.0
Simdega,Red Sandy Soil,Barley,19,26.7,88.3,49.7,8.69,12417.0
Godda,Red Sandy Soil,Sunflower,66,36.1,56.7,39.9,5.51,11521.0
Sahebganj,Laterite Soil,Barley,1,38.5,62.0,25.8,1.74,7914.0
Simdega,Clay Loam,Barley,106,35.2,79.6,45.0,7.24,12172.0
Deoghar,Laterite Soil,Wheat,55,28.8,73.2,5.6,1.97,8242.0
Sahebganj,Black Soil,Rice,15,30.1,84.7,47.1,1.07,9297.0
Simdega,Alluvial Soil,Maize,127,22.5,60.0,17.6,2.93,8228.0
Khunti,Sandy Loam,Ragi,15,34.9,58.7,43.1,2.1,7367.0
Khunti,Laterite Soil,Sorghum,121,31.9,41.6,33.4,6.25,12124.0
Dumka,Red Sandy Soil,Wheat,66,38.0,63.1,48.0,5.1,11747.0
Dhanbad,Clay Loam,Barley,114,24.0,76.2,43.2,7.38,11330.0
Latehar,Alluvial Soil,Sesame,137,35.2,55.1,44.4,5.36,10639.0
Khunti,Gravelly Soil,Ragi,146,33.7,63.1,31.6,4.48,9725.0
Giridih,Black Soil,Barley,145,25.3,51.0,41.7,5.5,10366.0
Giridih,Black Soil,Sesame,72,33.3,78.6,37.9,4.63,9144.0
Seraikela-Kharsawan,Red Sandy Soil,Sugarcane,98,38.5,43.0,8.1,0.85,13948.0
Sahebganj,Gravelly Soil,Jowar,44,38.4,75.3,32.4,6.97,12403.0
Dumka,Black Soil,Jowar,16,34.4,58.9,7.4,9.64,15665.0
Giridih,Sandy Loam,Sugarcane,78,21.0,42.1,43.5,4.51,15177.0
Bokaro,Clay Loam,Groundnut,52,37.4,82.7,3.3,4.53,10423.0
Deoghar,Sandy Loam,Sorghum,2,33.2,64.4,49.4,0.93,5930.0
Bokaro,Black Soil,Sugarcane,61,26.2,70.0,20.0,8.96,19780.0
Koderma,Sandy Loam,Sesame,132,23.7,76.6,8.5,9.33,13532.0
Koderma,Black Soil,Jowar,126,22.3,72.8,46.8,8.22,11830.0
Jamtara,Clay Loam,Barley,52,21.0,76.5,2.3,1.51,5969.0
Dhanbad,Clay Loam,Sunflower,41,35.1,78.1,23.5,9.05,14647.0
Ranchi,Gravelly Soil,Millet,31,24.7,69.5,38.5,0.73,4545.0
Bokaro,Sandy Loam,Jowar,121,20.5,58.3,15.8,4.72,9205.0
Deoghar,Alluvial Soil,Sorghum,51,27.9,52.2,26.4,5.26,10556.0
Chatra,Gravelly Soil,Sorghum,95,29.7,85.1,35.0,8.42,12737.0
Latehar,Clay Loam,Linseed,11,23.4,88.5,47.6,7.63,10263.0
Pakur,Red Sandy Soil,Rice,136,20.9,57.9,5.1,8.07,17021.0
Seraikela-Kharsawan,Black Soil,Millet,12,23.8,45.6,7.9,8.75,13804.0
Bokaro,Gravelly Soil,Wheat,99,33.6,51.1,25.4,5.02,12039.0
Pakur,Laterite Soil,Jowar,45,21.6,73.5,20.9,7.91,11947.0
Dumka,Alluvial Soil,Maize,34,31.1,48.6,20.5,1.15,7592.0
Koderma,Black Soil,Mustard,72,22.9,79.0,14.8,4.72,8044.0
Dhanbad,Gravelly Soil,Mustard,21,23.9,86.2,28.0,0.79,3734.0
Latehar,Clay Loam,Rice,41,27.9,88.2,44.2,9.2,17160.0
Dumka,Clay Loam,Cotton,22,22.0,40.5,8.0,9.6,17125.0
Lohardaga,Alluvial Soil,Mustard,21,23.5,87.9,10.8,1.3,4497.0
Lohardaga,Laterite Soil,Rice,71,27.0,77.0,33.5,5.56,13980.0
Dumka,Gravelly Soil,Cotton,14,26.6,44.2,2.8,3.59,11568.0
Simdega,Gravelly Soil,Sorghum,79,35.0,60.8,33.7,3.75,9352.0
Deoghar,Sandy Loam,Sorghum,73,21.5,75.0,15.7,4.78,8966.0
Pakur,Red Sandy Soil,Wheat,52,37.2,87.8,17.9,1.69,8118.0
Chatra,Clay Loam,Cotton,76,36.3,48.2,20.3,2.22,10698.0
Simdega,Gravelly Soil,Maize,19,35.3,46.4,17.5,5.99,12978.0
Bokaro,Gravelly Soil,Jowar,27,26.2,63.6,42.1,0.68,5050.0
Godda,Black Soil,Mustard,146,36.5,88.4,47.3,6.2,9952.0
Seraikela-Kharsawan,Black Soil,Sesame,13,23.7,88.6,27.4,3.53,6994.0
Jamtara,Gravelly Soil,Barley,107,22.5,51.4,29.1,8.41,13236.0
Godda,Laterite Soil,Sugarcane,129,20.9,56.0,3.5,6.2,17240.0
Bokaro,Red Sandy Soil,Linseed,85,38.8,85.4,35.7,7.23,11734.0
Jamtara,Gravelly Soil,Sunflower,141,26.2,76.7,29.2,1.59,6225.0
Ranchi,Alluvial Soil,Jowar,109,38.4,88.6,2.5,3.03,8662.0
Koderma,Clay Loam,Sorghum,115,25.5,84.7,9.9,9.97,14381.0
Deoghar,Sandy Loam,Sunflower,51,38.2,50.8,10.1,4.62,11614.0
Gumla,Black Soil,Wheat,1,38.1,78.0,8.5,3.91,10910.0
Jamtara,Alluvial Soil,Wheat,121,38.5,42.4,32.9,8.8,16420.0
Godda,Clay Loam,Sesame,123,29.9,80.9,46.4,0.81,4745.0
Seraikela-Kharsawan,Black Soil,Ragi,32,37.3,70.1,38.1,5.58,10845.0
Gumla,Laterite Soil,Linseed,142,39.0,87.8,23.9,2.5,7188.0
Lohardaga,Black Soil,Rice,93,26.5,88.0,20.2,4.0,12306.0
Koderma,Red Sandy Soil,Sorghum,68,28.4,42.5,19.3,2.4,8179.0
Dumka,Red Sandy Soil,Groundnut,63,34.4,48.0,30.1,0.86,6958.0
Pakur,Clay Loam,Sunflower,82,26.0,64.2,18.0,4.46,9674.0
Latehar,Alluvial Soil,Cotton,142,35.1,84.0,11.3,8.0,15464.0
Giridih,Sandy Loam,Cotton,41,21.5,80.7,30.1,9.54,15367.0
Jamtara,Laterite Soil,Rice,3,30.5,88.2,19.5,6.43,15144.0
Giridih,Clay Loam,Sugarcane,94,22.4,70.9,0.7,4.19,14989.0
Dhanbad,Laterite Soil,Ragi,59,25.9,52.8,1.1,7.81,13194.0
Giridih,Red Sandy Soil,Barley,18,25.2,41.3,13.7,5.3,11007.0
Sahebganj,Gravelly Soil,Linseed,104,36.8,51.1,25.6,3.99,9525.0
Khunti,Gravelly Soil,Wheat,74,23.9,73.8,17.7,2.2,7722.0
Khunti,Sandy Loam,Jowar,120,36.2,86.3,1.2,8.06,13567.0
Pakur,Laterite Soil,Linseed,76,35.9,56.0,11.2,5.25,10836.0
Chatra,Clay Loam,Sugarcane,8,30.0,83.8,4.8,9.66,20750.0
Ranchi,Sandy Loam,Barley,81,24.7,59.7,47.4,8.12,12551.0
Jamtara,Black Soil,Groundnut,101,24.5,55.4,15.6,4.49,9666.0
Bokaro,Black Soil,Linseed,9,29.3,65.4,0.7,7.54,12394.0
Dumka,Alluvial Soil,Jowar,90,20.2,62.1,33.0,4.81,8807.0
Koderma,Gravelly Soil,Rice,48,30.6,85.7,11.6,1.26,10217.0
Ranchi,Clay Loam,Sesame,115,39.1,63.4,28.3,5.41,11152.0
Sahebganj,Laterite Soil,Jowar,87,23.1,53.9,7.5,8.72,13763.0
Hazaribagh,Sandy Loam,Maize,95,31.5,82.1,49.2,8.63,13533.0
Godda,Clay Loam,Ragi,114,39.2,89.9,48.5,5.96,10613.0
Chatra,Sandy Loam,Groundnut,18,37.2,72.4,32.8,4.11,9702.0
Koderma,Sandy Loam,Linseed,29,37.0,52.5,35.4,0.6,5917.0
Sahebganj,Sandy Loam,Sorghum,2,36.4,51.9,21.3,3.46,9717.0
Sahebganj,Laterite Soil,Rice,78,26.2,42.9,48.1,9.9,18971.0
Hazaribagh,Clay Loam,Rice,68,37.8,43.9,21.2,7.4,18139.0
Deoghar,Red Sandy Soil,Rice,98,38.8,85.7,12.0,7.32,17089.0
